,GSM120468,GSM120469,GSM120470,GSM120475,GSM120477,GSM120478,GSM120481,GSM120483,GSM120484,GSM120485,GSM120486,GSM120487,GSM120488,GSM120489,GSM120492,GSM120493,GSM120494,GSM120495,GSM120496,GSM120497,GSM120498,GSM120500,GSM120501,GSM120503,GSM120505,GSM120506,GSM120508,GSM120510,GSM120512,GSM120515,GSM120516,GSM120518,GSM120520,GSM120522,GSM120524,GSM120526,GSM120528,GSM120529,GSM120532,GSM120534,GSM120536,GSM120537,GSM120539,GSM120540,GSM120541,GSM120542,GSM120543,GSM120544,GSM120545,GSM120546,GSM120547,GSM120548,GSM120549,GSM120550,GSM120551,GSM120552,GSM120553,GSM120554,GSM120555,GSM120556,GSM120557,GSM120558,GSM120559,GSM120560,GSM120561,GSM120562,GSM120563,GSM120564,GSM120565,GSM120566,GSM120567,GSM120568,GSM120569,GSM120570,GSM120571,GSM120572,GSM120573,GSM120592,GSM120593,GSM120595,GSM120596,GSM120597,GSM120598,GSM120599,GSM120600,GSM120601,GSM120602,GSM120603,GSM120604,GSM120605,GSM120606,GSM120625,GSM120626,GSM120627,GSM120628,GSM120629,GSM120630,GSM120631,GSM120632,GSM120633,GSM120634,GSM120635,GSM120636,GSM120637,GSM120639
GATA3,2.254402205,-0.763963211,2.235507484,3.173195436,2.741764444,2.455200267,2.109269596,,1.360921712,,2.972731427,1.777792488,1.310385594,-1.311246846,1.686204829,3.863771513,,2.631892982,2.190056385,0.204303974,-1.111216076,1.883755584,2.467117921,,2.448830989,2.387313192,2.126014636,,0.152811903,0.132587438,,1.793268416,0.905174559,-1.215344929,,1.844055196,-0.092002371,1.832465525,-0.420486659,0.322271983,-1.200601968,2.963869694,-1.843042697,1.538183448,2.146993562,-0.970439748,3.109169856,1.790321097,2.001109319,0.002898992,-0.840329095,0.796952022,-1.297710941,3.462450309,2.024171954,-0.03380969,-2.157111531,,2.332976291,-0.967758921,0.285183421,-0.405902949,-0.805772564,2.381768638,-0.610651691,1.634194459,-3.448127214,0.573034533,,2.396699654,1.271526582,-1.287841134,2.548644662,3.049168003,1.923456637,0.803589122,1.631124694,-0.693088035,0.651653323,-0.686938864,-0.578742665,1.831996118,2.277947285,2.563851394,-1.152544238,2.586437188,0.277709951,,2.342335151,0.115362725,,2.940866517,2.042069672,1.916256618,2.17223399,1.452821579,2.893994649,1.158166153,2.238231482,2.499096743,-0.759635888,0.778592383,1.833593877,1.441870745,0.912857931
XBP1,2.783623397,-0.335916779,-1.029804853,2.618602174,2.523032639,2.789665173,3.542809307,0.048084899,2.403833361,1.305059242,2.839865891,1.118403393,1.191803521,-0.917750578,2.896200827,3.561535191,-0.431271851,3.828824795,3.135952217,1.587647069,-1.597780385,1.81928376,2.682033619,-1.147535712,1.88667356,1.75344618,2.230980635,-1.248658483,1.375453832,2.860675142,1.535093916,1.578080569,-0.677053232,-1.614740495,0.798293432,1.609102587,1.660602917,1.643357319,-1.166031424,1.220091529,0.850872879,1.658931999,-0.616938519,0.184233182,1.451897625,-1.258694925,2.260844428,0.681816599,2.355585278,0.056346835,1.629376879,0.408243268,0.811894587,0.389019308,1.385440645,0.859606689,-0.214556158,0.781884289,2.583856064,0.933250619,2.224027781,-0.036390333,-0.920597728,1.689079046,-1.32539861,2.145113867,-0.02191908,1.51270904,-1.967883628,1.010428226,2.542726037,0.874942445,2.566312336,1.834600182,2.185619712,-0.825594881,1.938312481,1.875892205,1.02098625,0.947282499,1.320216312,1.887296693,2.847771184,1.342446441,1.224316207,2.480427772,0.448335741,-0.487174581,2.482065881,-0.901148321,-1.515969686,3.479567112,1.031113436,1.383401273,2.738272718,2.07714132,2.139645642,0.885224971,2.77366995,2.322572288,2.437534418,2.755741777,1.233192462,2.530674808,1.058015485
Random1,-2.409885795,2.332165461,-0.731038935,0.928604877,2.847845065,-0.892390059,0.956325056,0.343698589,-1.102144969,2.181570768,2.066948622,-3.102717811,3.849311883,1.261411232,-4.118393737,0.847621855,3.592822907,-4.765233609,3.174469483,1.119447925,0.342037238,0.207980594,-1.891577442,2.211624708,-2.794298385,-2.174985369,-5.641229343,-2.362866749,3.270024463,0.639436606,-0.466637181,0.1474358,1.427535915,1.703875905,0.016601809,-3.374719115,0.154659081,1.313413918,1.26511792,-0.341482734,-2.208623686,3.068953373,-0.852673643,-1.961499066,-1.784626588,0.315221466,-4.589698172,-2.037258566,3.273704986,-0.312963788,-1.846072164,6.027205585,0.600378711,2.710089526,8.439651373,-0.546322219,0.007921607,-2.581502783,-1.28058233,4.794211163,0.926438899,-2.5430041,-2.000641587,5.388252633,-0.906109218,-0.660602756,-1.609655878,-0.709660682,-0.522983836,-1.802557757,-1.15210516,-1.386440999,-4.379296775,2.889294399,3.067003125,4.332198093,-0.899824773,3.277453615,0.03269962,-0.345730006,-0.43006332,1.125397407,-0.751691136,1.274711167,2.430919304,-2.914056516,1.17272346,6.448937583,-0.283586482,0.423538917,-0.584562286,4.101013008,-1.429485472,-2.536492701,0.496817032,1.60716659,-0.960760361,2.634443069,-4.012853611,2.304144532,4.695602957,-0.370679062,-0.983914992,-2.017802104,1.075601906
Random2,-5.697444078,0.010258283,2.028481585,-1.2940253,-7.590564555,6.364055557,1.376381859,0.109329297,9.291073019,9.607955918,4.736577438,-2.047553712,9.656586889,1.036318079,4.498310286,3.919284987,-0.51153978,-0.851252088,1.945426894,0.814935258,-2.933162358,2.995197574,4.083861169,-1.389285105,1.899457128,0.212810582,10.44379069,-4.098935498,-0.381531219,3.839339388,-6.543109106,5.771650412,-2.186608892,-5.293209751,-0.676897824,4.098689839,-6.926733545,0.671952653,0.001818601,-6.488539884,9.985390193,-7.80456536,2.156660853,0.217190533,0.658202615,-3.057204578,1.686955591,3.761428554,1.889475719,3.259531226,4.472120439,-0.604627556,1.78714527,-5.551802229,6.752679422,-2.039607414,-0.941940554,2.997893801,-1.236610098,-5.480899058,1.869424548,2.902399348,-0.042419336,5.356058544,4.954731609,-0.119707044,-5.165668491,5.895804608,-1.181200088,2.584216532,0.926885652,-0.208959054,-1.092090149,-2.557931331,1.808629866,10.09031348,-1.198966638,-3.393289215,-1.81707075,-7.552539559,-1.646379511,0.219837106,-1.508692104,-4.957279048,-4.00736858,-0.982316769,-1.363646266,-1.088009435,1.208045806,3.943382035,5.867063969,4.399294367,2.093236585,4.44197569,1.968037137,-0.26502469,0.40914054,-3.855981883,-0.143927037,-6.838475096,9.196868515,0.581065795,-5.482869234,6.67166314,-0.226227582
Random3,-11.362139,1.906452811,-1.39310433,2.531060566,3.136204077,-4.14195923,3.560117341,-4.498350461,-1.694475595,9.684127282,-5.047386865,4.044070963,-0.159299703,-6.178161745,-5.328896821,-0.843076097,0.135114476,3.382415673,-3.369317844,0.925587218,-7.430471489,-6.411675093,-1.633383876,-12.14067111,7.835032125,7.576007552,-1.18054649,-7.722230449,-10.7448014,0.053533909,8.782778745,-7.694618575,2.44917936,-2.178040289,-3.286787837,-1.937229758,0.683448141,13.85169339,-6.698500356,7.402340437,1.325837836,8.409523071,3.051818733,-4.950434058,3.859086867,-16.42418393,1.892908573,4.201425003,5.185314298,10.65822931,3.806183229,4.470615381,0.000422585,-8.760957635,-2.281752084,-1.224921425,-1.794364184,-0.56147508,10.17004162,-2.459055982,2.625170171,9.668795398,-5.955940478,-6.504237174,6.097754538,6.798501838,8.021879677,7.573762877,-7.326556693,10.29035465,0.367772762,7.063313206,-3.980963661,-2.010480024,6.256141202,-2.332895651,6.688952329,-1.045183919,2.06156308,-4.846972271,1.241793487,-5.629714705,0.84564117,-1.562092299,0.653049772,5.478039432,9.752660328,-2.953490838,4.323111592,0.464770675,-5.806840977,4.17331731,14.35386322,2.661528536,7.884740205,1.110638094,4.709422121,1.829684039,-1.903576808,-11.20439623,4.623873237,8.962091226,-4.310115523,9.252990203,-4.515530108
ER,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0
